UPC,Description,Department,Price
1889926696575,heavy cream,Dairy,$2.05 
4205318194299,margarine,Dairy,$12.87 
9783161777938,butter,Dairy,$8.64 
8300166086537,ice cream,Dairy,$9.81 
4791906899475,asiago cheese,Dairy,$4.66 
4547361018113,gouda,Dairy,$4.66 
8472461700373,ricotta cheese,Dairy,$4.75 
2186764021114,gorgonzola,Dairy,$10.83 
1482784431679,swiss cheese,Dairy,$6.54 
8138919634191,Parmesan cheese,Dairy,$7.72 
3302417478255,creme fraiche,Dairy,$1.75 
2575684966348,Havarti cheese,Dairy,$3.75 
6114996049036,bruschetta,Grocery,$2.60 
5231817601190,corn flour,Grocery,$1.38 
2979245449537,celery seeds,Grocery,$5.89 
3399182418673,sesame seeds,Grocery,$14.73 
1902386648243,sauerkraut,Grocery,$10.43 
4413519855575,garlic powder,Grocery,$3.03 
7711176935475,Tabasco sauce,Grocery,$4.26 
7427253462404,maple syrup,Grocery,$12.17 
3657519285082,pecans,Grocery,$8.07 
8053119860324,broth,Grocery,$10.22 
8102035930705,horseradish,Grocery,$15.03 
8997578872284,graham crackers,Grocery,$11.04 
1632972134587,tomato paste,Grocery,$10.24 
4234204597850,black olives,Grocery,$4.81 
4561635967108,cashew nut,Grocery,$3.05 
1497996467070,buckwheat,Grocery,$3.81 
4392037881188,black beans,Grocery,$12.57 
5795082858761,five-spice powder,Grocery,$3.99 
2244194005053,vinegar,Grocery,$13.26 
4449124274082,wasabi,Grocery,$15.18 
9184752262291,coffee,Grocery,$9.28 
4324954845152,coriander,Grocery,$5.15 
2864646372952,brazil nuts,Grocery,$2.26 
2334608035251,cocoa powder,Grocery,$6.65 
4050112146065,mustard,Grocery,$3.76 
5620805255816,tuna,Grocery,$1.12 
5983968397508,Worcestershire sauce,Grocery,$4.22 
5201423172258,corned beef,Grocery,$12.04 
6689665716108,sunflower seeds,Grocery,$5.99 
9239405530313,salt,Grocery,$4.13 
4534898125201,potato chips,Grocery,$8.54 
7953214686934,hot sauce,Grocery,$12.87 
3375611948338,vanilla bean,Grocery,$1.40 
3140439829416,sweet chili sauce,Grocery,$2.98 
5290029791815,water,Grocery,$1.46 
1235751160277,bean sauce,Grocery,$10.09 
7761502188786,cactus,Horticulture,$6.65 
4583127802929,chaurice sausage,Meat,$7.34 
9473210774561,pork,Meat,$3.27 
2199890785599,liver,Meat,$12.63 
4143077643737,beef,Meat,$12.02 
7075792421200,sausages,Meat,$1.97 
8984654669346,steak,Meat,$16.08 
5035131202056,habanero chilies,Produce,$12.42 
9471526586745,watermelons,Produce,$14.92 
1678817431760,thyme,Produce,$4.85 
9778119292839,green onions,Produce,$1.49 
5227667456842,figs,Produce,$2.83 
1845590200208,leeks,Produce,$7.64 
3754120579944,avocados,Produce,$7.46 
8683025355054,chile peppers,Produce,$1.74 
1140722978400,cranberries,Produce,$4.89 
4972205029958,truffles,Produce,$6.94 
2545417165459,broccoli raab,Produce,$1.25 
5398362885863,cremini mushrooms,Produce,$8.75 
6808548120316,lentils,Produce,$2.09 
6157862106600,chard,Produce,$1.71 
8955734374901,cabbage,Produce,$1.01 
7488260790464,limes,Produce,$11.27 
5228371999833,snap peas,Produce,$2.45 
4590380770663,apricots,Produce,$1.09 
1449919745821,ancho chile peppers,Produce,$16.51 
5494384947300,blackberries,Produce,$11.13 
1903031544014,brussels sprouts,Produce,$14.82 
2654586974934,sage,Produce,$3.25 
7530592120376,dried leeks,Produce,$8.30 
9636599638490,red cabbage,Produce,$17.42 
6465537833829,spaghetti squash,Produce,$5.67 
1442350419894,onions,Produce,$8.46 
8039368620360,blueberries,Produce,$2.87 
5993137352730,cantaloupes,Produce,$1.29 
8150313127959,capers,Produce,$6.08 
7547001678932,portabella mushrooms,Produce,$1.26 
7357282521960,shrimp,Seafood,$5.02 
2415451432799,squid,Seafood,$14.32 
4111544460249,grouper,Seafood,$17.15 
2015108670094,trout,Seafood,$1.54 
5063051286197,lobsters,Seafood,$13.56 
1169341620944,sushi,Seafood,$8.00 
